Date,Rainfall,Consumption
2001-01-01-00,6,1
2001-01-01-01,8,1
2001-01-01-02,5,1
2001-01-01-03,5,3
2001-01-01-04,5,4
2001-01-01-05,25,5
2001-01-01-06,0,8
2001-01-01-07,0,7
2001-01-01-08,0,10
2001-01-01-09,0,8
2001-01-01-10,1,15
2001-01-01-11,0,9
2001-01-01-12,0,3
2001-01-01-13,2,3
2001-01-01-14,24,3
2001-01-01-15,2,3
2001-01-01-16,2,10
2001-01-01-17,3,3
2001-01-01-18,0,20
2001-01-01-19,0,17
2001-01-01-20,2,18
2001-01-01-21,2,15
2001-01-01-22,2,1
2001-01-01-23,2,1
2001-01-01-00,6,1
2001-01-02-01,0,1
2001-01-02-02,0,1
2001-01-02-03,0,3
2001-01-02-04,0,4
2001-01-02-05,0,5
2001-01-02-06,0,30
2001-01-02-07,0,7
2001-01-02-08,0,10
2001-01-02-09,0,8
2001-01-02-10,0,15
2001-01-02-11,0,9
2001-01-02-12,0,3
2001-01-02-13,0,3
2001-01-02-14,0,3
2001-01-02-15,0,3
2001-01-02-16,0,100
2001-01-02-17,0,3
2001-01-02-18,0,20
2001-01-02-19,0,17
2001-01-02-20,0,18
2001-01-02-21,0,15
2001-01-02-22,0,1
2001-01-02-23,0,1
2001-01-03-00,0,1
2001-01-03-01,0,1
2001-01-03-02,0,1
2001-01-03-03,0,3
2001-01-03-04,0,4
2001-01-03-05,0,5
2001-01-03-06,0,8
2001-01-03-07,0,7
2001-01-03-08,0,10
2001-01-03-09,0,8
2001-01-03-10,0,15
2001-01-03-11,0,9
2001-01-03-12,0,3
2001-01-03-13,0,3
2001-01-03-14,0,3
2001-01-03-15,0,3
2001-01-03-16,0,10
2001-01-03-17,0,3
2001-01-03-18,0,20
2001-01-03-19,0,17
2001-01-03-20,0,18
2001-01-03-21,0,45
2001-01-03-22,0,1
2001-01-03-23,0,1
2001-01-04-00,0,1
2001-01-04-01,0,1
2001-01-04-02,0,3
2001-01-04-03,0,4
2001-01-04-04,0,5
2001-01-04-05,0,8
2001-01-04-06,0,7
2001-01-04-07,0,10
2001-01-04-08,0,8
2001-01-04-09,0,15
2001-01-04-10,0,9
2001-01-04-11,0,3
2001-01-04-12,0,3
2001-01-04-13,0,3
2001-01-04-14,0,3
2001-01-04-15,0,10
2001-01-04-16,0,3
2001-01-04-17,0,20
2001-01-04-18,0,17
2001-01-04-19,0,18
2001-01-04-20,0,15
2001-01-04-21,0,80
2001-01-04-22,0,113
2001-01-04-23,0,1
2001-01-05-00,0,1
2001-01-05-01,0,3
2001-01-05-02,0,4
2001-01-05-03,0,5
2001-01-05-04,0,8
2001-01-05-05,0,7
2001-01-05-06,0,23
2001-01-05-07,0,8
2001-01-05-08,0,47
2001-01-05-09,0,50
2001-01-05-10,0,126
2001-01-05-11,0,3
2001-01-05-12,0,3
2001-01-05-13,0,3
2001-01-05-14,0,10
2001-01-05-15,0,3
2001-01-05-16,0,20
2001-01-05-17,0,17
2001-01-05-18,0,18
2001-01-05-19,0,15
2001-01-05-20,0,1
2001-01-05-21,0,1
2001-01-05-22,0,15
2001-01-05-23,0,1
